"Date","Region","No. of Stations","Avg. SWC","% of April 1","% of Normal"
"05/31/2023","STATE","86","22.7","92","311"
"05/30/2023","STATE","86","23.6","96","310"
"05/29/2023","STATE","87","24.5","99","307"
"05/28/2023","STATE","89","25.9","105","313"
"05/27/2023","STATE","89","27.0","109","313"
"05/26/2023","STATE","87","28.1","114","317"
"05/25/2023","STATE","88","28.9","118","316"
"05/24/2023","STATE","88","30.1","122","315"
"05/23/2023","STATE","89","31.8","127","316"
"05/22/2023","STATE","89","33.2","133","319"
"05/21/2023","STATE","89","34.4","138","319"
"05/20/2023","STATE","89","36.1","144","323"
"05/19/2023","STATE","89","37.4","150","325"
"05/18/2023","STATE","89","38.7","154","324"
"05/17/2023","STATE","88","39.5","158","324"
"05/16/2023","STATE","88","40.6","163","326"
"05/15/2023","STATE","89","42.3","169","329"
"05/14/2023","STATE","88","43.0","173","325"
"05/13/2023","STATE","89","44.8","179","327"
"05/12/2023","STATE","89","45.8","183","324"
"05/11/2023","STATE","89","46.6","186","320"
"05/10/2023","STATE","89","47.0","188","314"
"05/09/2023","STATE","89","47.3","189","307"
"05/08/2023","STATE","89","47.6","190","301"
"05/07/2023","STATE","90","48.0","191","294"
"05/06/2023","STATE","90","47.8","190","285"
"05/05/2023","STATE","90","47.8","190","277"
"05/04/2023","STATE","90","47.9","191","272"
"05/03/2023","STATE","89","47.9","191","265"
"05/02/2023","STATE","90","48.5","192","261"
"05/01/2023","STATE","90","49.3","195","258"
"04/30/2023","STATE","90","50.2","199","258"
"04/29/2023","STATE","90","51.3","203","259"
"04/28/2023","STATE","91","52.7","207","258"
"04/27/2023","STATE","87","53.2","208","254"
"04/26/2023","STATE","87","54.0","211","253"
"04/25/2023","STATE","88","54.8","215","254"
"04/24/2023","STATE","88","55.7","219","255"
"04/23/2023","STATE","88","56.3","221","254"
"04/22/2023","STATE","88","57.0","224","255"
"04/21/2023","STATE","88","57.5","226","253"
"04/20/2023","STATE","88","57.7","227","252"
"04/19/2023","STATE","88","57.8","227","249"
"04/18/2023","STATE","89","58.0","228","248"
"04/17/2023","STATE","91","58.7","229","247"
"04/16/2023","STATE","91","59.1","231","248"
"04/15/2023","STATE","92","59.2","232","248"
"04/14/2023","STATE","92","59.5","233","247"
"04/13/2023","STATE","93","59.9","234","247"
"04/12/2023","STATE","93","60.3","236","248"
"04/11/2023","STATE","93","60.8","238","249"
"04/10/2023","STATE","95","60.7","240","249"
"04/09/2023","STATE","94","61.3","241","249"
"04/08/2023","STATE","95","61.8","240","247"
"04/07/2023","STATE","95","61.6","240","246"
"04/06/2023","STATE","95","61.6","239","244"
"04/05/2023","STATE","95","61.5","239","243"
"04/04/2023","STATE","96","61.5","238","241"
"04/03/2023","STATE","97","61.0","238","240"
"04/02/2023","STATE","96","61.2","237","238"
"04/01/2023","STATE","96","61.1","237","237"
"03/31/2023","STATE","97","61.1","236","236"
"03/30/2023","STATE","99","61.1","236","235"
"03/29/2023","STATE","99","60.7","234","233"
"03/28/2023","STATE","100","59.5","229","228"
"03/27/2023","STATE","101","59.0","228","228"
"03/26/2023","STATE","102","59.2","227","227"
"03/25/2023","STATE","102","59.1","227","228"
"03/24/2023","STATE","103","58.8","226","229"
"03/23/2023","STATE","104","58.3","224","228"
"03/22/2023","STATE","105","58.1","223","228"
"03/21/2023","STATE","107","57.4","221","227"
"03/20/2023","STATE","108","56.9","220","227"
"03/19/2023","STATE","107","56.4","217","224"
"03/18/2023","STATE","107","56.3","216","223"
"03/17/2023","STATE","107","56.2","216","223"
"03/16/2023","STATE","107","56.2","216","224"
"03/15/2023","STATE","107","56.1","216","225"
"03/14/2023","STATE","107","54.3","209","218"
"03/13/2023","STATE","107","53.8","207","217"
"03/12/2023","STATE","107","52.6","202","212"
"03/11/2023","STATE","107","51.5","198","208"
"03/10/2023","STATE","108","49.9","191","201"
"03/09/2023","STATE","108","47.7","183","194"
"03/08/2023","STATE","108","47.4","182","193"
"03/07/2023","STATE","108","47.1","180","192"
"03/06/2023","STATE","108","46.7","179","193"
"03/05/2023","STATE","108","45.7","175","191"
"03/04/2023","STATE","108","44.9","172","189"
"03/03/2023","STATE","108","44.9","172","192"
"03/02/2023","STATE","108","44.6","171","193"
"03/01/2023","STATE","108","44.3","170","194"
"02/28/2023","STATE","109","42.3","162","186"
"02/27/2023","STATE","109","40.7","156","181"
"02/26/2023","STATE","109","39.9","153","180"
"02/25/2023","STATE","109","39.3","151","180"
"02/24/2023","STATE","109","37.7","145","175"
"02/23/2023","STATE","109","37.0","142","173"
"02/22/2023","STATE","109","36.6","141","174"
"02/21/2023","STATE","110","36.5","140","175"
"02/20/2023","STATE","110","36.4","140","178"
"02/19/2023","STATE","110","36.4","140","181"
"02/18/2023","STATE","110","36.4","139","182"
"02/17/2023","STATE","110","36.3","139","185"
"02/16/2023","STATE","112","36.1","139","188"
"02/15/2023","STATE","113","36.1","138","189"
"02/14/2023","STATE","113","36.1","138","190"
"02/13/2023","STATE","112","36.1","138","193"
"02/12/2023","STATE","112","36.1","138","194"
"02/11/2023","STATE","112","36.0","138","196"
"02/10/2023","STATE","112","35.9","138","199"
"02/09/2023","STATE","113","36.0","137","200"
"02/08/2023","STATE","113","36.0","137","202"
"02/07/2023","STATE","113","35.9","137","205"
"02/06/2023","STATE","113","35.8","137","209"
"02/05/2023","STATE","113","35.2","134","206"
"02/04/2023","STATE","113","34.4","131","203"
"02/03/2023","STATE","113","34.3","131","205"
"02/02/2023","STATE","113","34.2","131","209"
"02/01/2023","STATE","113","34.2","131","210"
"01/31/2023","STATE","114","34.0","130","210"
"01/30/2023","STATE","114","34.1","130","211"
"01/29/2023","STATE","115","33.8","129","211"
"01/28/2023","STATE","115","33.8","129","213"
"01/27/2023","STATE","115","33.7","129","215"
"01/26/2023","STATE","115","33.7","128","216"
"01/25/2023","STATE","115","33.7","129","221"
"01/24/2023","STATE","115","33.4","127","222"
"01/23/2023","STATE","117","33.5","127","227"
"01/22/2023","STATE","118","33.3","127","232"
"01/21/2023","STATE","118","33.2","126","234"
"01/20/2023","STATE","118","33.3","126","240"
"01/19/2023","STATE","119","33.2","126","245"
"01/18/2023","STATE","119","32.7","124","248"
"01/17/2023","STATE","119","32.6","124","251"
"01/16/2023","STATE","119","31.8","121","249"
"01/15/2023","STATE","119","31.0","118","247"
"01/14/2023","STATE","119","28.6","109","232"
"01/13/2023","STATE","119","27.7","105","226"
"01/12/2023","STATE","119","27.6","105","229"
"01/11/2023","STATE","120","26.9","102","226"
"01/10/2023","STATE","120","24.8","94","215"
"01/09/2023","STATE","120","22.4","85","199"
"01/08/2023","STATE","120","21.2","81","194"
"01/07/2023","STATE","120","20.3","77","189"
"01/06/2023","STATE","120","20.1","76","191"
"01/05/2023","STATE","120","18.4","70","179"
"01/04/2023","STATE","120","17.3","66","176"
"01/03/2023","STATE","120","17.1","65","177"
"01/02/2023","STATE","120","16.8","64","177"
"01/01/2023","STATE","120","16.7","64","182"
"12/31/2022","STATE","121","14.7","56","162"
"12/30/2022","STATE","120","14.0","53","157"
"12/29/2022","STATE","120","13.4","51","156"
"12/28/2022","STATE","120","13.3","50","159"
"12/27/2022","STATE","120","11.9","45","145"
"12/26/2022","STATE","120","11.3","43","141"
"12/25/2022","STATE","120","11.3","43","145"
"12/24/2022","STATE","120","11.3","43","148"
"12/23/2022","STATE","120","11.3","43","152"
"12/22/2022","STATE","120","11.3","43","156"
"12/21/2022","STATE","120","11.3","43","163"
"12/20/2022","STATE","120","11.2","43","168"
"12/19/2022","STATE","120","11.2","42","171"
"12/18/2022","STATE","120","11.2","43","182"
"12/17/2022","STATE","120","11.2","43","189"
"12/16/2022","STATE","120","11.2","43","194"
"12/15/2022","STATE","120","11.2","43","201"
"12/14/2022","STATE","120","11.1","42","204"
"12/13/2022","STATE","120","11.1","42","213"
"12/12/2022","STATE","119","11.1","42","223"
"12/11/2022","STATE","120","10.2","39","218"
"12/10/2022","STATE","120","7.3","28","164"
"12/09/2022","STATE","120","7.0","27","162"
"12/08/2022","STATE","120","6.8","26","161"
"12/07/2022","STATE","120","6.7","26","171"
"12/06/2022","STATE","120","6.7","26","182"
"12/05/2022","STATE","120","6.4","24","175"
"12/04/2022","STATE","120","5.7","22","164"
"12/03/2022","STATE","120","4.7","18","140"
"12/02/2022","STATE","120","4.6","17","140"
"12/01/2022","STATE","120","3.2","12","106"
"11/30/2022","STATE","120","3.0","11","103"
"11/29/2022","STATE","108","3.1","11","110"
"11/28/2022","STATE","107","3.1","12","128"
"11/27/2022","STATE","108","3.1","11","128"
"11/26/2022","STATE","108","3.1","12","150"
"06/13/2022","STATE","99","0.1","0","0"
"06/12/2022","STATE","99","0.1","1","5"
"06/11/2022","STATE","99","0.2","1","5"
"06/10/2022","STATE","99","0.2","1","5"
"06/09/2022","STATE","99","0.2","1","5"
"06/08/2022","STATE","99","0.2","1","4"
"06/07/2022","STATE","99","0.2","1","4"
"06/06/2022","STATE","99","0.2","1","4"
"06/05/2022","STATE","99","0.2","1","4"
"06/04/2022","STATE","99","0.2","1","4"
"06/03/2022","STATE","99","0.3","1","4"
"06/02/2022","STATE","99","0.4","2","7"
"06/01/2022","STATE","99","0.5","2","7"
"05/31/2022","STATE","99","0.6","2","6"
"05/30/2022","STATE","99","0.6","2","6"
"05/29/2022","STATE","99","0.7","2","6"
"05/28/2022","STATE","99","0.7","3","8"
"05/27/2022","STATE","99","0.8","3","8"
"05/26/2022","STATE","99","1.0","3","8"
"05/25/2022","STATE","99","1.1","4","10"
"05/24/2022","STATE","99","1.2","4","9"
"05/23/2022","STATE","99","1.4","5","11"
"05/22/2022","STATE","99","1.5","5","11"
"05/21/2022","STATE","99","1.7","6","13"
"05/20/2022","STATE","99","1.8","6","12"
"05/19/2022","STATE","99","2.0","7","14"
"05/18/2022","STATE","99","2.2","8","15"
"05/17/2022","STATE","99","2.5","9","17"
"05/16/2022","STATE","99","2.8","10","18"
"05/15/2022","STATE","99","3.2","11","19"
"05/14/2022","STATE","99","3.6","13","22"
"05/13/2022","STATE","99","3.8","14","23"
"05/12/2022","STATE","99","4.0","14","23"
"05/11/2022","STATE","99","4.0","14","22"
"05/10/2022","STATE","100","3.9","14","22"
"05/09/2022","STATE","100","3.7","13","20"
"05/08/2022","STATE","100","3.7","13","19"
"05/07/2022","STATE","100","4.0","14","20"
"05/06/2022","STATE","100","4.5","16","23"
"05/05/2022","STATE","100","4.9","18","25"
"05/04/2022","STATE","100","5.3","19","26"
"05/03/2022","STATE","100","5.7","20","27"
"05/02/2022","STATE","100","6.1","22","29"
"05/01/2022","STATE","100","6.4","23","30"
"04/30/2022","STATE","99","7.2","25","32"
"04/29/2022","STATE","99","7.5","27","34"
"04/28/2022","STATE","98","7.6","27","33"
"04/27/2022","STATE","97","7.6","27","33"
"04/26/2022","STATE","97","8.0","29","35"
"04/25/2022","STATE","98","8.5","30","35"
"04/24/2022","STATE","98","8.7","31","36"
"04/23/2022","STATE","98","8.9","32","37"
"04/22/2022","STATE","98","8.8","31","35"
"04/21/2022","STATE","97","7.8","28","31"
"04/20/2022","STATE","97","7.6","27","30"
"04/19/2022","STATE","98","7.5","27","30"
"04/18/2022","STATE","98","7.6","27","29"
"04/17/2022","STATE","98","7.7","28","30"
"04/16/2022","STATE","97","7.2","26","28"
"04/15/2022","STATE","98","7.1","25","27"
"04/14/2022","STATE","98","6.6","24","25"
"04/13/2022","STATE","98","6.5","23","24"
"04/12/2022","STATE","98","6.5","23","24"
"04/11/2022","STATE","100","6.0","21","22"
"04/10/2022","STATE","100","6.3","22","23"
"04/09/2022","STATE","100","6.7","24","25"
"04/08/2022","STATE","100","7.2","26","27"
"04/07/2022","STATE","99","7.6","27","27"
"04/06/2022","STATE","99","8.1","29","29"
"04/05/2022","STATE","100","8.5","30","30"
"04/04/2022","STATE","99","8.9","32","32"
"04/03/2022","STATE","99","9.3","33","33"
"04/02/2022","STATE","98","9.7","35","35"
"04/01/2022","STATE","99","10.3","37","37"
"03/31/2022","STATE","99","10.5","38","38"
"03/30/2022","STATE","99","10.7","38","38"
"03/29/2022","STATE","98","10.7","38","38"
"03/28/2022","STATE","99","10.7","38","38"
"03/27/2022","STATE","99","11.2","40","40"
"03/26/2022","STATE","98","11.9","43","43"
"03/25/2022","STATE","98","12.6","45","45"
"03/24/2022","STATE","99","13.2","47","47"
"03/23/2022","STATE","98","14.0","50","50"
"03/22/2022","STATE","98","14.5","52","52"
"03/21/2022","STATE","98","14.9","53","54"
"03/20/2022","STATE","98","14.9","53","54"
"03/19/2022","STATE","98","14.8","53","54"
"03/18/2022","STATE","98","15.1","54","55"
"03/17/2022","STATE","99","15.3","54","55"
"03/16/2022","STATE","99","15.4","55","57"
"03/15/2022","STATE","99","15.5","55","57"
"03/14/2022","STATE","100","15.8","56","58"
"03/13/2022","STATE","100","15.8","56","58"
"03/12/2022","STATE","100","15.9","56","59"
"03/11/2022","STATE","102","16.0","57","60"
"03/10/2022","STATE","102","16.0","57","60"
"03/09/2022","STATE","102","16.0","57","61"
"03/08/2022","STATE","102","16.1","57","61"
"03/07/2022","STATE","102","16.0","57","62"
"03/06/2022","STATE","102","15.9","57","62"
"03/05/2022","STATE","101","15.8","56","62"
"03/04/2022","STATE","102","15.7","56","62"
"03/03/2022","STATE","102","15.8","56","63"
"03/02/2022","STATE","102","15.8","56","63"
"03/01/2022","STATE","103","15.8","56","64"
"02/28/2022","STATE","104","15.8","56","64"
"02/27/2022","STATE","104","15.8","56","65"
"02/26/2022","STATE","104","15.7","56","66"
"02/25/2022","STATE","104","15.7","56","66"
"02/24/2022","STATE","103","15.6","56","67"
"02/23/2022","STATE","102","15.6","56","68"
"02/22/2022","STATE","103","15.3","55","67"
"02/21/2022","STATE","103","15.2","55","68"
"02/20/2022","STATE","103","15.3","55","68"
"02/19/2022","STATE","103","15.3","55","69"
"02/18/2022","STATE","103","15.4","55","70"
"02/17/2022","STATE","103","15.4","55","71"
"02/16/2022","STATE","103","15.4","55","72"
"02/15/2022","STATE","103","15.4","55","72"
"02/14/2022","STATE","103","15.5","55","73"
"02/13/2022","STATE","103","15.6","56","76"
"02/12/2022","STATE","102","15.7","56","77"
"02/11/2022","STATE","102","15.8","57","79"
"02/10/2022","STATE","102","15.9","57","80"
"02/09/2022","STATE","103","15.9","57","81"
"02/08/2022","STATE","103","16.0","58","84"
"02/07/2022","STATE","103","16.0","58","85"
"02/06/2022","STATE","103","16.1","58","86"
"02/05/2022","STATE","102","16.1","58","88"
"02/04/2022","STATE","103","16.1","58","89"
"02/03/2022","STATE","103","16.1","58","90"
"02/02/2022","STATE","104","16.1","58","92"
"02/01/2022","STATE","104","16.2","58","93"
"01/31/2022","STATE","104","15.9","57","93"
"01/30/2022","STATE","104","16.0","57","95"
"01/29/2022","STATE","104","16.0","58","98"
"01/28/2022","STATE","104","16.0","58","99"
"01/27/2022","STATE","103","16.0","58","101"
"01/26/2022","STATE","102","16.0","58","103"
"01/25/2022","STATE","102","16.0","58","104"
"01/24/2022","STATE","102","16.0","58","106"
"01/23/2022","STATE","102","16.0","58","108"
"01/22/2022","STATE","102","16.1","58","109"
"01/21/2022","STATE","102","16.1","58","111"
"01/20/2022","STATE","101","16.1","58","113"
"01/19/2022","STATE","102","16.1","58","115"
"01/18/2022","STATE","102","16.1","58","117"
"01/17/2022","STATE","102","16.1","58","119"
"01/16/2022","STATE","102","16.1","58","121"
"01/15/2022","STATE","102","16.1","58","123"
"01/14/2022","STATE","101","16.2","58","126"
"01/13/2022","STATE","102","16.1","58","128"
"01/12/2022","STATE","102","16.1","57","128"
"01/11/2022","STATE","102","16.0","57","130"
"01/10/2022","STATE","102","16.0","57","133"
"01/09/2022","STATE","102","16.0","57","135"
"01/08/2022","STATE","102","15.9","57","138"
"01/07/2022","STATE","102","15.8","57","141"
"01/06/2022","STATE","102","15.8","57","144"
"01/05/2022","STATE","102","15.8","56","144"
"01/04/2022","STATE","102","15.7","56","147"
"01/03/2022","STATE","103","15.5","55","147"
"01/02/2022","STATE","103","15.5","55","150"
"01/01/2022","STATE","103","15.4","55","154"
"12/31/2021","STATE","103","15.4","55","157"
"12/30/2021","STATE","104","15.4","55","160"
"12/29/2021","STATE","104","14.9","53","158"
"12/28/2021","STATE","104","14.7","52","159"
"12/27/2021","STATE","104","13.8","49","153"
"12/26/2021","STATE","104","12.9","46","146"
"12/25/2021","STATE","104","11.2","40","130"
"12/24/2021","STATE","104","10.3","36","120"
"12/23/2021","STATE","104","8.4","30","102"
"12/22/2021","STATE","104","7.4","26","91"
"12/21/2021","STATE","104","7.3","26","93"
"12/20/2021","STATE","104","7.3","26","95"
"12/19/2021","STATE","105","7.3","26","97"
"12/18/2021","STATE","197","7.9","28","107"
"12/17/2021","STATE","105","7.1","25","98"
"12/16/2021","STATE","106","6.8","24","97"
"12/15/2021","STATE","106","5.7","20","83"
"12/14/2021","STATE","107","5.1","18","76"
"12/13/2021","STATE","163","5.3","19","83"
"12/12/2021","STATE","108","1.5","5","22"
"12/11/2021","STATE","108","1.4","5","23"
"12/10/2021","STATE","108","1.3","5","23"
"12/09/2021","STATE","108","1.1","4","19"
"12/08/2021","STATE","108","0.9","3","15"
"12/07/2021","STATE","108","1.0","4","20"
"12/06/2021","STATE","108","0.9","3","16"
"12/05/2021","STATE","108","1.0","3","16"
"12/04/2021","STATE","108","0.9","3","17"
"12/03/2021","STATE","108","0.9","3","17"
"12/02/2021","STATE","108","0.9","3","18"
"12/01/2021","STATE","107","0.9","3","18"
"11/30/2021","STATE","106","0.9","3","19"
"11/29/2021","STATE","106","0.9","3","19"
"11/28/2021","STATE","106","1.0","3","20"
"11/27/2021","STATE","106","1.0","4","28"
"11/26/2021","STATE","106","1.1","4","29"
"11/25/2021","STATE","106","1.1","4","30"
"11/24/2021","STATE","106","1.0","4","32"
"11/23/2021","STATE","106","1.0","3","25"
"11/22/2021","STATE","106","0.9","3","26"
"11/21/2021","STATE","106","0.8","3","27"
"11/20/2021","STATE","106","0.8","3","28"
"11/19/2021","STATE","106","0.8","3","30"
"11/18/2021","STATE","106","0.8","3","31"
"11/17/2021","STATE","105","0.8","3","33"
"11/16/2021","STATE","105","0.9","3","34"
"11/15/2021","STATE","105","0.9","3","36"
"11/14/2021","STATE","105","1.0","3","38"
"11/13/2021","STATE","105","1.0","4","53"
"11/12/2021","STATE","105","1.1","4","57"
"11/11/2021","STATE","105","1.1","4","60"
"11/10/2021","STATE","105","1.1","4","63"
"11/09/2021","STATE","105","1.0","4","68"
"11/08/2021","STATE","105","0.7","2","36"
"11/07/2021","STATE","105","0.7","2","38"
"11/06/2021","STATE","105","0.7","2","42"
"11/05/2021","STATE","105","0.7","3","67"
"11/04/2021","STATE","103","0.8","3","71"
"11/03/2021","STATE","105","0.9","3","77"
"11/02/2021","STATE","105","1.0","4","111"
"11/01/2021","STATE","105","1.1","4","121"
"10/31/2021","STATE","105","1.2","4","133"
"10/30/2021","STATE","106","1.4","5","179"
"10/29/2021","STATE","106","1.6","6","231"
"10/28/2021","STATE","104","1.8","6","250"
"10/27/2021","STATE","105","1.9","7","318"
"10/26/2021","STATE","103","1.9","7","350"
"10/25/2021","STATE","108","0.9","3","167"
"10/24/2021","STATE","108","0.3","1","63"
"10/23/2021","STATE","108","0.2","1","67"
"10/22/2021","STATE","106","0.2","1","77"
"10/21/2021","STATE","107","0.3","1","83"
"10/20/2021","STATE","107","0.3","1","100"
"08/31/2021","STATE","100","0.0","0","0"
"08/30/2021","STATE","100","0.0","0","0"
"06/01/2021","STATE","100","0.1","0","0"
"05/31/2021","STATE","100","0.1","0","0"
"05/30/2021","STATE","100","0.1","0","0"
"05/29/2021","STATE","100","0.1","0","0"
"05/28/2021","STATE","100","0.1","0","0"
"05/27/2021","STATE","100","0.1","0","0"
"05/26/2021","STATE","100","0.2","1","3"
"05/25/2021","STATE","100","0.1","1","2"
"05/24/2021","STATE","100","0.2","1","2"
"05/23/2021","STATE","100","0.2","1","2"
"05/22/2021","STATE","100","0.3","1","2"
"05/21/2021","STATE","100","0.3","1","2"
"05/20/2021","STATE","100","0.3","1","2"
"05/19/2021","STATE","100","0.4","1","2"
"05/18/2021","STATE","100","0.4","1","2"
"05/17/2021","STATE","100","0.5","2","4"
"05/16/2021","STATE","100","0.5","2","4"
"05/15/2021","STATE","100","0.6","2","4"
"05/14/2021","STATE","100","0.7","3","5"
"05/13/2021","STATE","100","0.8","3","5"
"05/12/2021","STATE","100","1.0","4","7"
"05/11/2021","STATE","100","1.2","4","6"
"05/10/2021","STATE","100","1.4","5","8"
"05/09/2021","STATE","100","1.6","6","9"
"05/08/2021","STATE","100","1.8","7","10"
"05/07/2021","STATE","100","2.1","7","10"
"05/06/2021","STATE","100","2.5","9","13"
"05/05/2021","STATE","100","2.8","10","14"
"05/04/2021","STATE","100","3.3","12","16"
"05/03/2021","STATE","100","3.7","13","17"
"05/02/2021","STATE","100","4.1","15","20"
"05/01/2021","STATE","100","4.7","17","22"
"04/30/2021","STATE","100","5.3","19","24"
"04/29/2021","STATE","100","6.0","21","26"
"04/28/2021","STATE","100","6.3","22","27"
"04/27/2021","STATE","189","6.4","22","27"
"04/26/2021","STATE","200","6.3","23","27"
"04/25/2021","STATE","100","6.0","21","25"
"04/24/2021","STATE","100","6.2","22","26"
"04/23/2021","STATE","100","6.7","24","28"
"04/22/2021","STATE","100","7.2","26","30"
"04/21/2021","STATE","100","7.5","27","30"
"04/20/2021","STATE","100","8.0","29","32"
"04/19/2021","STATE","100","8.6","31","34"
"04/18/2021","STATE","100","9.1","32","35"
"04/17/2021","STATE","100","9.5","34","37"
"04/16/2021","STATE","100","9.8","35","38"
"04/15/2021","STATE","100","10.0","36","38"
"04/14/2021","STATE","100","10.1","36","38"
"04/13/2021","STATE","100","10.3","37","39"
"04/12/2021","STATE","100","11.0","39","41"
"04/11/2021","STATE","100","11.6","41","42"
"04/10/2021","STATE","100","12.1","43","44"
"04/09/2021","STATE","100","12.6","45","46"
"04/08/2021","STATE","100","13.0","46","47"
"04/07/2021","STATE","100","13.5","48","49"
"04/06/2021","STATE","100","14.0","50","51"
"04/05/2021","STATE","98","14.5","52","53"
"04/04/2021","STATE","100","15.0","53","53"
"04/03/2021","STATE","100","15.5","55","55"
"04/02/2021","STATE","100","16.0","57","57"
"04/01/2021","STATE","100","16.4","59","59"
"03/31/2021","STATE","98","16.9","60","60"
"03/30/2021","STATE","98","17.2","61","61"
"03/29/2021","STATE","98","17.4","62","62"
"03/28/2021","STATE","98","17.7","63","63"
"03/27/2021","STATE","98","17.9","64","64"
"03/26/2021","STATE","99","17.9","64","64"
"03/25/2021","STATE","99","17.9","64","64"
"03/24/2021","STATE","99","17.9","64","64"
"03/23/2021","STATE","99","17.9","64","64"
"03/22/2021","STATE","99","17.8","63","64"
"03/21/2021","STATE","99","17.8","63","64"
"03/20/2021","STATE","99","17.7","63","64"
"03/19/2021","STATE","99","17.2","61","62"
"03/18/2021","STATE","100","16.8","60","61"
"03/17/2021","STATE","100","16.8","60","61"
"03/16/2021","STATE","100","16.7","60","62"
"03/15/2021","STATE","100","16.5","59","61"
"03/14/2021","STATE","100","16.2","58","60"
"03/13/2021","STATE","100","16.2","58","60"
"03/12/2021","STATE","100","16.1","57","60"
"03/11/2021","STATE","101","15.8","56","59"
"03/10/2021","STATE","101","15.5","55","58"
"03/09/2021","STATE","101","15.1","54","58"
"03/08/2021","STATE","101","15.0","54","58"
"03/07/2021","STATE","101","15.1","54","58"
"03/06/2021","STATE","101","15.0","53","58"
"03/05/2021","STATE","101","15.0","53","58"
"03/04/2021","STATE","101","15.0","53","59"
"03/03/2021","STATE","101","15.1","54","60"
"03/02/2021","STATE","101","15.1","54","61"
"03/01/2021","STATE","101","15.1","54","61"
"02/28/2021","STATE","103","15.1","54","62"
"02/27/2021","STATE","103","15.1","54","63"
"02/26/2021","STATE","103","15.2","54","63"
"02/25/2021","STATE","103","15.1","54","64"
"02/24/2021","STATE","103","15.2","54","64"
"02/23/2021","STATE","103","15.2","54","65"
"02/22/2021","STATE","103","15.2","54","66"
"02/21/2021","STATE","103","15.2","54","67"
"02/20/2021","STATE","103","15.1","54","67"
"02/19/2021","STATE","103","14.9","53","67"
"02/18/2021","STATE","103","14.7","53","67"
"02/17/2021","STATE","103","14.8","53","68"
"02/16/2021","STATE","103","14.8","53","69"
"02/15/2021","STATE","103","14.6","52","69"
"02/14/2021","STATE","103","14.4","51","68"
"02/13/2021","STATE","103","14.1","50","68"
"02/12/2021","STATE","103","13.7","49","67"
"02/11/2021","STATE","103","12.9","46","64"
"02/10/2021","STATE","103","12.9","46","65"
"02/09/2021","STATE","103","12.9","46","66"
"02/08/2021","STATE","103","12.9","46","66"
"02/07/2021","STATE","103","12.9","46","67"
"02/06/2021","STATE","103","12.8","46","68"
"02/05/2021","STATE","103","12.8","46","69"
"02/04/2021","STATE","103","12.7","45","69"
"02/03/2021","STATE","103","12.6","45","70"
"02/02/2021","STATE","103","12.1","43","68"
"02/01/2021","STATE","103","11.9","42","68"
"01/31/2021","STATE","104","11.6","41","67"
"01/30/2021","STATE","104","11.4","41","68"
"01/29/2021","STATE","105","11.1","39","66"
"01/28/2021","STATE","105","9.5","33","57"
"01/27/2021","STATE","105","7.3","26","45"
"01/26/2021","STATE","105","6.4","22","39"
"01/25/2021","STATE","105","6.3","22","40"
"01/24/2021","STATE","105","6.0","21","38"
"01/23/2021","STATE","105","6.0","21","39"
"01/22/2021","STATE","105","5.9","21","40"
"01/21/2021","STATE","105","6.0","21","40"
"01/20/2021","STATE","105","5.9","21","41"
"01/19/2021","STATE","105","6.0","21","42"
"01/18/2021","STATE","105","6.1","21","42"
"01/17/2021","STATE","105","6.1","22","45"
"01/16/2021","STATE","105","6.1","22","46"
"01/15/2021","STATE","105","6.2","22","47"
"01/14/2021","STATE","105","6.2","22","48"
"01/13/2021","STATE","105","6.2","22","48"
"01/12/2021","STATE","105","6.2","22","49"
"01/11/2021","STATE","106","6.2","22","50"
"01/10/2021","STATE","106","6.2","22","51"
"01/09/2021","STATE","106","6.1","22","52"
"01/08/2021","STATE","106","6.1","21","51"
"01/07/2021","STATE","106","6.0","21","52"
"01/06/2021","STATE","106","6.0","21","53"
"01/05/2021","STATE","106","6.0","21","54"
"01/04/2021","STATE","106","5.5","19","50"
"01/03/2021","STATE","106","5.3","19","51"
"01/02/2021","STATE","106","5.3","19","52"
"01/01/2021","STATE","106","5.2","18","50"
"12/31/2020","STATE","106","5.2","18","51"
"12/30/2020","STATE","106","5.0","17","50"
"12/29/2020","STATE","106","4.9","17","51"
"12/28/2020","STATE","106","4.9","17","52"
"12/27/2020","STATE","106","4.7","17","53"
"12/26/2020","STATE","106","4.4","16","51"
"12/25/2020","STATE","106","3.9","14","46"
"12/24/2020","STATE","106","3.9","14","47"
"12/23/2020","STATE","106","3.9","14","48"
"12/22/2020","STATE","106","3.9","14","49"
"12/21/2020","STATE","106","3.9","14","50"
"12/20/2020","STATE","106","3.9","14","51"
"12/19/2020","STATE","106","3.8","14","52"
"12/18/2020","STATE","106","3.8","13","50"
"12/17/2020","STATE","105","3.5","12","47"
"12/16/2020","STATE","105","3.1","11","44"
"12/15/2020","STATE","105","3.1","11","45"
"12/14/2020","STATE","105","3.0","11","47"
"12/13/2020","STATE","105","2.2","8","35"
"12/12/2020","STATE","105","2.1","7","31"
"12/11/2020","STATE","103","1.9","7","32"
"12/10/2020","STATE","103","1.9","7","33"
"12/09/2020","STATE","102","2.0","7","34"
"12/08/2020","STATE","103","2.0","7","35"
"12/07/2020","STATE","103","2.0","7","36"
"12/06/2020","STATE","103","2.0","7","37"
"12/05/2020","STATE","103","2.0","7","38"
"12/04/2020","STATE","103","2.0","7","39"
"12/03/2020","STATE","103","2.0","7","40"
